Time_Step,prod-rate-co2-r32,flow-time
0,0,0
20,9.476861304427033e-11,0.02
40,2.600834897091819e-10,0.04
60,4.774278382719932e-10,0.06
80,8.257535390325804e-10,0.08
100,1.372445019532247e-09,0.1
120,2.198544555171904e-09,0.12
140,3.403620846078281e-09,0.14
160,5.104977153952667e-09,0.16
180,7.435255802864886e-09,0.18
200,1.053848846014035e-08,0.2
220,1.45648181226221e-08,0.22
240,1.966427516594156e-08,0.24
260,2.598009756257583e-08,0.26
280,3.364212225832588e-08,0.28
300,4.276074063749896e-08,0.3
320,5.342184704666438e-08,0.32
340,6.568307915128517e-08,0.34
360,7.957152623319539e-08,0.36
380,9.508293074282486e-08,0.38
400,1.121823176482821e-07,0.4
420,1.308058904588715e-07,0.42
440,1.598321853826127e-07,0.44
460,1.867553124950395e-07,0.46
480,2.221346404299787e-07,0.48
500,2.684852590837204e-07,0.5
520,3.555473230566443e-07,0.52
540,4.91316759059685e-07,0.54
560,6.39726794961816e-07,0.5600000000000001
580,7.963916045494905e-07,0.58
600,9.581263517479722e-07,0.6
620,1.125168208103035e-06,0.62
640,1.298437440826632e-06,0.64
660,1.474964010378217e-06,0.66
680,1.651892316012495e-06,0.68
700,1.831978544399341e-06,0.7000000000000001
720,2.01358953414924e-06,0.72
740,2.182230610320737e-06,0.74
760,2.351227456182324e-06,0.76
780,2.518442787984295e-06,0.78
800,2.679761937255583e-06,0.8
820,2.838544396956385e-06,0.8200000000000001
840,2.992059805782189e-06,0.84
860,3.136764220348891e-06,0.86
880,3.279052003451602e-06,0.88
900,3.418584935307303e-06,0.9
920,3.554962244078974e-06,0.92
940,3.688046873474342e-06,0.9400000000000001
960,3.81755146318786e-06,0.96
980,3.941897257986373e-06,0.98
1000,4.060586351514987e-06,1
1020,4.171604812957425e-06,1.02
1040,4.28117250887818e-06,1.04
1060,4.382554443565357e-06,1.06
1080,4.480073940854176e-06,1.08
1100,4.574309658060863e-06,1.1
1120,4.665312107567001e-06,1.12
1140,4.753139986214164e-06,1.14
1160,4.837859860801178e-06,1.16
1180,4.919545049921485e-06,1.18
1200,4.995303455212227e-06,1.2
1220,5.066224953757613e-06,1.22
1240,5.134486238523502e-06,1.24
1260,5.200183634935404e-06,1.26
1280,5.263408670412396e-06,1.28
1300,5.324247170487703e-06,1.3
1320,5.382791413322924e-06,1.32
1340,5.439130208931632e-06,1.34
1360,5.486316413225334e-06,1.36
1380,5.521068233493635e-06,1.38
1400,5.55878925646923e-06,1.4
1420,5.595052845319414e-06,1.42
1440,5.629547825056096e-06,1.44
1460,5.65925927652701e-06,1.46
1480,5.688139426442815e-06,1.48
1500,5.716123523923794e-06,1.5
1520,5.742956838402729e-06,1.52
1540,5.768697322330373e-06,1.54
1560,5.793403853085869e-06,1.56
1580,5.817133673033577e-06,1.58
1600,5.839941330589872e-06,1.6
1620,5.86187850375167e-06,1.62
1640,5.882993879135207e-06,1.64
1660,5.901370712316516e-06,1.66
1680,5.917874803444162e-06,1.68
1700,5.933701201168261e-06,1.7
1720,5.947838785974003e-06,1.72
1740,5.958851472007085e-06,1.74
1760,5.969782430216628e-06,1.76
1780,5.980213674918723e-06,1.78
1800,5.989714658934732e-06,1.8
1820,5.99923056389466e-06,1.82
1840,6.008339500809926e-06,1.84
1860,6.016607007194345e-06,1.86
1880,6.024967139110813e-06,1.88
1900,6.032995059545304e-06,1.9
1920,6.040254098196682e-06,1.92
1940,6.04766812789893e-06,1.94
1960,6.054810733438088e-06,1.96
1980,6.061244250897379e-06,1.98
2000,6.067882900308687e-06,2
""
