Time_Step,prod-rate-co2-r22,flow-time
0,0,0
20,8.61478237702324e-09,0.02
40,1.611697425802486e-08,0.04
60,2.181188354884099e-08,0.06
80,2.848990753344095e-08,0.08
100,3.647777635965155e-08,0.1
120,4.585475455867607e-08,0.12
140,5.667188643572845e-08,0.14
160,6.895032380352649e-08,0.16
180,8.268084563289769e-08,0.18
200,9.782479800242258e-08,0.2
220,1.143162870916905e-07,0.22
240,1.320653602081172e-07,0.24
260,1.509618899050756e-07,0.26
280,1.708798614365625e-07,0.28
300,1.916817749747564e-07,0.3
320,2.132229582950956e-07,0.32
340,2.353555954040464e-07,0.34
360,2.579323484984044e-07,0.36
380,2.808094695157042e-07,0.38
400,3.038493907618609e-07,0.4
420,3.269227986226166e-07,0.42
440,3.671193402264746e-07,0.44
460,3.993892492966003e-07,0.46
480,4.42132372913475e-07,0.48
500,4.978280095100808e-07,0.5
520,6.078443652979591e-07,0.52
540,7.715969885353335e-07,0.54
560,9.332699472955901e-07,0.5600000000000001
580,1.088957646134711e-06,0.58
600,1.236916116742258e-06,0.6
620,1.379208612254127e-06,0.62
640,1.518091560042027e-06,0.64
660,1.651680288971052e-06,0.66
680,1.778477516751678e-06,0.68
700,1.90203973319383e-06,0.7000000000000001
720,2.021674550951827e-06,0.72
740,2.126198092581306e-06,0.74
760,2.227827251299753e-06,0.76
780,2.325352989428231e-06,0.78
800,2.416163690537303e-06,0.8
820,2.503383523239517e-06,0.8200000000000001
840,2.585410429527979e-06,0.84
860,2.660161027695397e-06,0.86
880,2.732590204471109e-06,0.88
900,2.802658508436164e-06,0.9
920,2.870311046828451e-06,0.92
940,2.935599626407734e-06,0.9400000000000001
960,2.998514511355868e-06,0.96
980,3.058084409860615e-06,0.98
1000,3.114135641674192e-06,1
1020,3.16545678402688e-06,1.02
1040,3.216229011627109e-06,1.04
1060,3.262377846694039e-06,1.06
1080,3.306544161889055e-06,1.08
1100,3.3490995652337e-06,1.1
1120,3.390096656450626e-06,1.12
1140,3.429589047421127e-06,1.14
1160,3.46763016865957e-06,1.16
1180,3.504272988461134e-06,1.18
1200,3.537734747306538e-06,1.2
1220,3.568717779316557e-06,1.22
1240,3.598573557220748e-06,1.24
1260,3.627349495654827e-06,1.26
1280,3.655090611037223e-06,1.28
1300,3.681838747642999e-06,1.3
1320,3.707636531450626e-06,1.32
1340,3.73252428459626e-06,1.34
1360,3.753027267645094e-06,1.36
1380,3.767440077594124e-06,1.38
1400,3.78271796121364e-06,1.4
1420,3.79747214142194e-06,1.42
1440,3.811522848413922e-06,1.44
1460,3.823226067998931e-06,1.46
1480,3.834769224984921e-06,1.48
1500,3.846092749905809e-06,1.5
1520,3.857026276076127e-06,1.52
1540,3.867587609116273e-06,1.54
1560,3.877796194502844e-06,1.56
1580,3.887671201113618e-06,1.58
1600,3.897230912419117e-06,1.6
1620,3.906492595097586e-06,1.62
1640,3.915472410600395e-06,1.64
1660,3.923065135519961e-06,1.66
1680,3.929767888047546e-06,1.68
1700,3.936257259719902e-06,1.7
1720,3.941952910195307e-06,1.72
1740,3.946050832943419e-06,1.74
1760,3.95024013950858e-06,1.76
1780,3.954270039542704e-06,1.78
1800,3.957892852310565e-06,1.8
1820,3.96163659377862e-06,1.82
1840,3.965250326843253e-06,1.84
1860,3.968486116968012e-06,1.86
1880,3.971866124446532e-06,1.88
1900,3.975139574931237e-06,1.9
1920,3.978058868435849e-06,1.92
1940,3.981140730298628e-06,1.94
1960,3.984134984545693e-06,1.96
1980,3.986794757108984e-06,1.98
2000,3.989631570202517e-06,2
""
