269, 1.36462e-05, 8.81355e-05, -0.129594, -0.458938, 5e-08, 0.629524
24, 1.17764e-05, 8.60766e-05, 0.165635, 0.566988, 5e-08, 0.629443
801, 9.80185e-06, 0.000125428, 0.138735, -0.462845, 5e-08, 0.63145
597, 1.14821e-05, 0.000108979, 0.239698, 0.25616, 5e-08, 0.631168
688, 1.24943e-05, 0.000124552, -0.370448, 0.0206258, 5e-08, 0.632339
136, 6.95138e-06, 0.000122257, 0.0361797, -0.348283, 5e-08, 0.632918
486, 1.92089e-05, 0.000113095, -0.196621, -0.0466369, 5e-08, 0.633554
179, 1.57877e-05, 8.50709e-05, -0.298133, 0.551226, 5e-08, 0.633378
910, 7.53414e-05, 7.77677e-05, -0.332063, 0.578426, 5e-08, 0.633798
350, 1.80921e-05, 0.000121276, -0.0253509, -0.195763, 5e-08, 0.633595
858, 4.03909e-06, 0.000119142, 0.335288, -0.177541, 5e-08, 0.633672
638, 8.32827e-06, 0.000109299, -0.204083, 0.358593, 5e-08, 0.634385
754, 1.49488e-05, 8.85496e-05, 0.141646, -0.0800888, 5e-08, 0.634173
12, 2.46642e-05, 3.68846e-05, 0.171775, 0.771, 5e-08, 0.63499
746, 2.79957e-05, 7.45675e-05, 0.262763, 0.27041, 5e-08, 0.634126
602, 5.06614e-06, 0.000112889, 0.620602, 0.107161, 5e-08, 0.634325
389, 1.51011e-05, 5.66605e-05, 0.278995, 0.00433837, 5e-08, 0.634438
904, 9.99952e-06, 0.000125461, 0.011314, -0.415611, 5e-08, 0.635567
757, 9.41815e-06, 0.000125331, 0.249212, -0.501448, 5e-08, 0.635909
601, 6.42835e-05, 8.7929e-05, 0.479695, -0.157794, 5e-08, 0.635775
270, 7.96087e-05, 0.00010896, -0.338568, 0.392456, 5e-08, 0.635083
227, 1.41418e-05, 5.83909e-05, 0.663478, -0.217677, 5e-08, 0.635991
344, 3.42342e-06, 5.40074e-05, -0.416222, -0.292913, 5e-08, 0.635152
180, 7.59976e-06, 4.06491e-05, -0.120408, 0.215772, 5e-08, 0.635883
479, 1.52341e-05, 6.18394e-05, 0.425267, -0.373022, 5e-08, 0.635162
485, 7.70679e-05, 6.59326e-05, 0.0292822, -0.0445428, 5e-08, 0.636475
745, 7.8767e-05, 6.78743e-05, 0.0688737, -0.226738, 5e-08, 0.636242
567, 2.51605e-06, 0.000463271, -0.324127, -0.41147, 5e-08, 0.636436
311, 5.4076e-06, 0.000112126, 0.420281, 0.523185, 5e-08, 0.636084
435, 6.93556e-05, 9.20398e-05, -0.155829, -0.450407, 5e-08, 0.636629
548, 5.39752e-06, 0.000112148, 0.26443, 0.263308, 5e-08, 0.636299
603, 2.95169e-05, 7.15895e-05, 0.467772, -0.0609023, 5e-08, 0.636655
686, 7.82966e-05, 7.78053e-05, 0.184686, 0.249413, 5e-08, 0.63689
484, 8.35732e-05, 9.09422e-05, -0.0118535, -0.249825, 5e-08, 0.636813
203, 7.37703e-05, 7.78801e-05, -0.0451445, 0.26113, 5e-08, 0.637325
856, 3.10254e-06, 0.000116871, 0.135087, 0.102804, 5e-08, 0.637638
267, 2.86735e-05, 8.13379e-05, 0.157503, -0.131651, 5e-08, 0.637454
596, 1.18253e-05, 8.59825e-05, 0.351769, 0.0260177, 5e-08, 0.637018
640, 8.47376e-06, 0.000109249, 0.654091, 0.178903, 5e-08, 0.637876
308, 5.17514e-05, 8.29797e-05, -0.283008, 0.018957, 5e-08, 0.637735
900, 1.36488e-05, 8.47593e-05, 0.296965, 0.160042, 5e-08, 0.637497
117, 7.11667e-05, 7.96471e-05, 0.232043, 0.321171, 5e-08, 0.637932
135, 6.2714e-05, 7.09111e-05, -0.59013, -0.212474, 5e-08, 0.637939
