Time_Step,prod-rate-co2-r11,flow-time
0,0,0
20,1.546282299862343e-22,0.02
40,2.005873763572682e-21,0.04
60,1.371230228454629e-20,0.06
80,8.012115829123283e-20,0.08
100,4.134684442651375e-19,0.1
120,1.900945397325076e-18,0.12
140,7.848090017202584e-18,0.14
160,2.931148741732089e-17,0.16
180,9.97244511583555e-17,0.18
200,3.110818008234884e-16,0.2
220,8.951463641939262e-16,0.22
240,2.389595004773954e-15,0.24
260,5.949296270636737e-15,0.26
280,1.388235187519086e-14,0.28
300,3.05010803560524e-14,0.3
320,6.336987704970334e-14,0.32
340,1.249963443541293e-13,0.34
360,2.349463638679954e-13,0.36
380,4.222735167740108e-13,0.38
400,7.280537728702755e-13,0.4
420,1.207729363973334e-12,0.42
440,2.089428543414354e-12,0.44
460,3.324042886714489e-12,0.46
480,5.326228785604002e-12,0.48
500,8.564893250679874e-12,0.5
520,1.527337636820841e-11,0.52
540,2.841760535774707e-11,0.54
560,4.82958673383151e-11,0.5600000000000001
580,7.64414000653359e-11,0.58
600,1.143257565737919e-10,0.6
620,1.638167574871639e-10,0.62
640,2.270518316839486e-10,0.64
660,3.052902342105325e-10,0.66
680,3.992696172440344e-10,0.68
700,5.112381807264072e-10,0.7000000000000001
720,6.419767426518882e-10,0.72
740,7.853783479438934e-10,0.74
760,9.471531945722732e-10,0.76
780,1.126453358319539e-09,0.78
800,1.320355016101539e-09,0.8
820,1.530281782261147e-09,0.8200000000000001
840,1.753386768671928e-09,0.84
860,1.985211028838297e-09,0.86
880,2.229746184719514e-09,0.88
900,2.485731390815279e-09,0.9
920,2.751476885161262e-09,0.92
940,3.02570029649432e-09,0.9400000000000001
960,3.306575874502925e-09,0.96
980,3.591165657128803e-09,0.98
1000,3.877218460119383e-09,1
1020,4.160723916039437e-09,1.02
1040,4.448065576058845e-09,1.04
1060,4.727385164558435e-09,1.06
1080,5.004683407379383e-09,1.08
1100,5.280025141362574e-09,1.1
1120,5.552630068348168e-09,1.12
1140,5.821787388273257e-09,1.14
1160,6.086869275596175e-09,1.16
1180,6.347330963162311e-09,1.18
1200,6.597897077002144e-09,1.2
1220,6.839497386062044e-09,1.22
1240,7.075083871830299e-09,1.24
1260,7.304472185452801e-09,1.26
1280,7.527504868126139e-09,1.28
1300,7.744048690613777e-09,1.3
1320,7.95405128005281e-09,1.32
1340,8.15749094099352e-09,1.34
1360,8.333349246711986e-09,1.36
1380,8.47187725586983e-09,1.38
1400,8.62772163823294e-09,1.4
1420,8.777943211928036e-09,1.42
1440,8.921708897934572e-09,1.44
1460,9.051295175326901e-09,1.46
1480,9.175996190755105e-09,1.48
1500,9.295815538836849e-09,1.5
1520,9.410387644758671e-09,1.52
1540,9.51992601836958e-09,1.54
1560,9.624647028304647e-09,1.56
1580,9.724766614960271e-09,1.58
1600,9.820497232102748e-09,1.6
1620,9.912046636370096e-09,1.62
1640,9.999616754514331e-09,1.64
1660,1.007905733087807e-08,1.66
1680,1.015219163138725e-08,1.68
1700,1.022169648613751e-08,1.7
1720,1.028533201053958e-08,1.72
1740,1.033965461700658e-08,1.74
1760,1.039203920004013e-08,1.76
1780,1.044170202336831e-08,1.78
1800,1.048769123332992e-08,1.8
1820,1.053224824326526e-08,1.82
1840,1.057455987912931e-08,1.84
1860,1.061364408052735e-08,1.86
1880,1.065172029687327e-08,1.88
1900,1.068794836901719e-08,1.9
1920,1.072132279625957e-08,1.92
1940,1.07540418706887e-08,1.94
1960,1.078524437078276e-08,1.96
1980,1.081390673531609e-08,1.98
2000,1.084220623130035e-08,2
""
