Time_Step,tau-chem-r3,flow-time
0,0,0
20,15658491738.4927,0.02
40,5215261996.455269,0.04
60,2735913046.799677,0.06
80,1529237383.482142,0.08
100,890985785.3610561,0.1
120,539495564.2984608,0.12
140,338554637.94722,0.14
160,219626807.544454,0.16
180,146935563.4828897,0.18
200,101156570.8861341,0.2
220,71514862.67141189,0.22
240,51821058.13589817,0.24
260,38419750.92670069,0.26
280,29095669.13971828,0.28
300,22473171.53583998,0.3
320,17678605.5586296,0.32
340,14145140.37712236,0.34
360,11497751.27490116,0.36
380,9483608.062932,0.38
400,7929265.403818715,0.4
420,6713786.47168421,0.42
440,5399262.395126146,0.44
460,4555075.078661093,0.46
480,3765729.084375522,0.48
500,3056096.160903506,0.5
520,2235838.938321238,0.52
540,1554748.216581494,0.54
560,1153500.538885509,0.5600000000000001
580,899709.575647746,0.58
600,729196.6829307945,0.6
620,607358.0621957645,0.62
640,515926.3782511813,0.64
660,446146.3502259232,0.66
680,392103.8233144358,0.68
700,348451.9798624923,0.7000000000000001
720,312816.1781018813,0.72
740,285477.7038565844,0.74
760,262254.3649104115,0.76
780,242532.05925007,0.78
800,226006.6597285967,0.8
820,211688.7998852144,0.8200000000000001
840,199390.6903929361,0.84
860,188993.598763517,0.86
880,179712.5774600389,0.88
900,171400.5732690921,0.9
920,163939.4332327351,0.92
940,157217.7296673889,0.9400000000000001
960,151149.3513589706,0.96
980,145722.3241637713,0.98
1000,140874.0221137712,1
1020,136613.0097025851,1.02
1040,132627.8528874661,1.04
1060,129134.5401915116,1.06
1080,125930.7931145696,1.08
1100,122969.4433024237,1.1
1120,120227.3554004337,1.12
1140,117683.9702794565,1.14
1160,115321.0199314408,1.16
1180,113122.2361924,1.18
1200,111155.8092305783,1.2
1220,109373.6690941015,1.22
1240,107705.5766777727,1.24
1260,106142.0858833311,1.26
1280,104674.7120729885,1.28
1300,103295.8648547174,1.3
1320,101998.5955821293,1.32
1340,100776.6269821643,1.34
1360,99777.40204505349,1.36
1380,99061.07609128373,1.38
1400,98297.23057765274,1.4
1420,97571.69100179928,1.42
1440,96889.35808658268,1.44
1460,96313.18114550039,1.46
1480,95756.86731195435,1.48
1500,95221.70106241388,1.5
1520,94712.89320726013,1.52
1540,94228.70745882453,1.54
1560,93767.44806865092,1.56
1580,93327.53521509207,1.58
1600,92907.51015490842,1.6
1620,92506.02879586128,1.62
1640,92121.86130854442,1.64
1660,91792.12318042164,1.66
1680,91498.9153589827,1.68
1700,91218.6382777556,1.7
1720,90970.5452268135,1.72
1740,90781.70151670782,1.74
1760,90593.68756166697,1.76
1780,90414.41688791262,1.78
1800,90252.19267788983,1.8
1820,90089.12444637572,1.82
1840,89933.09358964923,1.84
1860,89792.38976187909,1.86
1880,89649.49876560627,1.88
1900,89512.27969738997,1.9
1920,89388.99362603342,1.92
1940,89262.46318699716,1.94
1960,89140.51117644986,1.96
1980,89031.35586286978,1.98
2000,88918.12631875859,2
""
