Time_Step,prod-rate-co2-r12,flow-time
0,0,0
20,1.149491024876766e-15,0.02
40,5.812527258211203e-15,0.04
60,2.192877448962747e-14,0.06
80,7.463723858491479e-14,0.08
100,2.328215414251132e-13,0.1
120,6.697377009498777e-13,0.12
140,1.786740632911017e-12,0.14
160,4.444184170784653e-12,0.16
180,1.035723631386647e-11,0.18
200,2.272070027413275e-11,0.2
220,4.711889071634494e-11,0.22
240,9.274825989612252e-11,0.24
260,1.739303987711851e-10,0.26
280,3.118264579075934e-10,0.28
300,5.361926742728283e-10,0.3
320,8.869573732575697e-10,0.32
340,1.415368030467528e-09,0.34
360,2.184465250985705e-09,0.36
380,3.26869015226695e-09,0.38
400,4.752519202455013e-09,0.4
420,6.728130063204715e-09,0.42
440,9.545597079036041e-09,0.44
460,1.300606700525823e-08,0.46
480,1.757745143652287e-08,0.48
500,2.355311678686291e-08,0.5
520,3.24284983111028e-08,0.52
540,4.49887013602627e-08,0.54
560,6.004998077376366e-08,0.5600000000000001
580,7.764866346731454e-08,0.58
600,9.778337314458572e-08,0.6
620,1.205540082992362e-07,0.62
640,1.460607845665928e-07,0.64
660,1.741475319437057e-07,0.66
680,2.045801165962161e-07,0.68
700,2.374515461333437e-07,0.7000000000000001
720,2.725488603859996e-07,0.72
740,3.086347731967575e-07,0.74
760,3.464608697458118e-07,0.76
780,3.856894916689459e-07,0.78
800,4.25768512841604e-07,0.8
820,4.667656143330901e-07,0.8200000000000001
840,5.082222841833283e-07,0.84
860,5.495648218738686e-07,0.86
880,5.912071044806336e-07,0.88
900,6.329485543287598e-07,0.9
920,6.745435430552574e-07,0.92
940,7.158428317040748e-07,0.9400000000000001
960,7.566286076032914e-07,0.96
980,7.966728050010251e-07,0.98
1000,8.35790893482416e-07,1
1020,8.737106387918113e-07,1.02
1040,9.109311387777172e-07,1.04
1060,9.464107460768595e-07,1.06
1080,9.80802488892937e-07,1.08
1100,1.014160278677761e-06,1.1
1120,1.046456900135315e-06,1.12
1140,1.077672208698359e-06,1.14
1160,1.107794556820082e-06,1.16
1180,1.136820182625236e-06,1.18
1200,1.164464413043197e-06,1.2
1220,1.19082329478825e-06,1.22
1240,1.216102241333923e-06,1.24
1260,1.240325566713387e-06,1.26
1280,1.26351718315564e-06,1.28
1300,1.285700707674519e-06,1.3
1320,1.306906036060325e-06,1.32
1340,1.327163616196404e-06,1.34
1360,1.344655838345756e-06,1.36
1380,1.358662607082046e-06,1.38
1400,1.374476664377157e-06,1.4
1420,1.38957143229673e-06,1.42
1440,1.403904115020592e-06,1.44
1460,1.416931109209371e-06,1.46
1480,1.429313328671017e-06,1.48
1500,1.44107528969665e-06,1.5
1520,1.452222468402544e-06,1.52
1540,1.462786799597346e-06,1.54
1560,1.472799087797997e-06,1.56
1580,1.48228901942937e-06,1.58
1600,1.49128508397322e-06,1.6
1620,1.49981456330121e-06,1.62
1640,1.507903512073458e-06,1.64
1660,1.515334232354772e-06,1.66
1680,1.522212910240176e-06,1.68
1700,1.528697464620556e-06,1.7
1720,1.534670319985175e-06,1.72
1740,1.539931670417181e-06,1.74
1760,1.544936715101093e-06,1.76
1780,1.54965611592989e-06,1.78
1800,1.554041670035057e-06,1.8
1820,1.558226267869615e-06,1.82
1840,1.56217750173598e-06,1.84
1860,1.565843986850784e-06,1.86
1880,1.569355256769014e-06,1.88
1900,1.572676115616341e-06,1.9
1920,1.575752704443122e-06,1.92
1940,1.57871165978722e-06,1.94
1960,1.581515595556535e-06,1.96
1980,1.58410872768501e-06,1.98
2000,1.586615112185816e-06,2
""
